100.0,63.0,103.0,155.0,41.0,-0.4,0.1,0.4,open
99.0,63.0,104.0,155.0,41.0,-0.4,0.1,-1.6,open
97.0,62.0,102.0,155.0,40.0,0.6,1.1,0.4,open
99.0,62.0,104.0,155.0,41.0,-0.4,1.1,1.4,open
100.0,60.0,104.0,155.0,40.0,0.6,0.1,1.4,open
100.0,63.0,104.0,155.0,41.0,-0.4,1.1,1.4,open
100.0,63.0,104.0,153.0,41.0,-0.4,1.1,2.4,open
100.0,63.0,103.0,155.0,40.0,0.6,-0.9,0.4,open
100.0,63.0,104.0,153.0,41.0,0.6,0.1,0.4,open
100.0,63.0,104.0,154.0,40.0,0.6,0.1,-0.6,open
100.0,63.0,104.0,154.0,41.0,-0.4,-0.9,-1.6,open
100.0,63.0,104.0,155.0,41.0,0.6,0.1,-0.6,open
100.0,63.0,104.0,155.0,41.0,0.6,0.1,0.4,open
100.0,63.0,104.0,155.0,40.0,1.6,0.1,0.4,open
100.0,63.0,104.0,155.0,40.0,0.6,0.1,1.4,open
100.0,63.0,104.0,155.0,41.0,0.6,1.1,2.4,open
101.0,63.0,104.0,155.0,41.0,0.6,0.1,0.4,open
100.0,63.0,104.0,155.0,41.0,0.6,1.1,-0.6,open
100.0,63.0,104.0,155.0,41.0,-0.4,2.1,-1.6,open
99.0,63.0,104.0,155.0,41.0,0.6,1.1,-1.6,open
100.0,62.0,104.0,153.0,42.0,0.6,1.1,-0.6,open
100.0,63.0,104.0,155.0,41.0,2.6,2.1,2.4,open
100.0,63.0,104.0,155.0,40.0,2.6,1.1,2.4,open
100.0,63.0,104.0,155.0,41.0,0.6,3.1,2.4,open
100.0,63.0,104.0,155.0,41.0,-0.4,0.1,-1.6,open
100.0,63.0,104.0,155.0,41.0,-1.4,0.1,-1.6,open
99.0,63.0,104.0,155.0,41.0,-2.4,0.1,-0.6,open
100.0,62.0,104.0,155.0,40.0,-0.4,-0.9,-0.6,open
100.0,63.0,104.0,155.0,41.0,1.6,0.1,1.4,open
100.0,63.0,104.0,155.0,41.0,1.6,0.1,2.4,open
100.0,63.0,104.0,155.0,40.0,3.6,1.1,2.4,open
99.0,63.0,104.0,155.0,41.0,1.6,0.1,3.4,open
100.0,62.0,104.0,155.0,40.0,-5.4,4.1,3.4,open
97.0,63.0,104.0,154.0,41.0,-0.4,0.1,4.4,open
100.0,62.0,103.0,155.0,41.0,6.6,-7.9,-1.6,open
99.0,63.0,104.0,155.0,41.0,3.6,-2.9,-1.6,open
100.0,62.0,103.0,155.0,41.0,3.6,-2.9,-1.6,open
100.0,63.0,104.0,155.0,40.0,4.6,-4.9,-2.6,open
99.0,63.0,104.0,155.0,41.0,0.6,-4.9,-2.6,open
100.0,62.0,104.0,155.0,40.0,-4.4,-1.9,-0.6,open
98.0,63.0,104.0,154.0,41.0,-3.4,-1.9,1.4,open
99.0,61.0,104.0,155.0,41.0,-3.4,-2.9,1.4,open
100.0,62.0,103.0,154.0,41.0,-2.4,-2.9,1.4,open
99.0,63.0,104.0,155.0,41.0,-1.4,-3.9,1.4,open
98.0,62.0,104.0,155.0,40.0,-1.4,-0.9,0.4,open
99.0,62.0,104.0,155.0,40.0,0.6,-0.9,0.4,open
100.0,61.0,103.0,155.0,40.0,-0.4,1.1,1.4,open
100.0,63.0,104.0,155.0,41.0,1.6,1.1,1.4,open
99.0,63.0,104.0,155.0,40.0,0.6,1.1,0.4,open
100.0,62.0,104.0,155.0,40.0,2.6,3.1,0.4,open
